museo_id,museo_nombre,museo_tematica_n1,museo_fecha_fundacion,museo_adscripcion,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,museo_calle_numero,museo_colonia,museo_cp,museo_telefono1,pagina_web,pagina_web2,email,twitter,gmaps_longitud,gmaps_latitud,link_sic,fecha_mod
2020,Museo de Sitio del Teatro Morelos,,1000-01-01,Instituto Cultural de Aguascalientes (ICA),1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,"Nieto 113, Plaza de la Patria de Aguascalientes",Zona Centro,20000,(449) 915 19 41,,,produccionagsica@gmail.com,,-102.29702,21.88021,http://sic.gob.mx/ficha.php?table=museo&table_id=2020,07/02/2020 08:36
742,"Museo Comunitario Altagracia A. de Arauz, San Vicente",Antropologia,01/01/1991,Ayuntamiento de San Vicente,2,Baja California,1,Ensenada,243,San Vicente,"Parque Central de San Vicente, km 90 al Sur de Ensenada",,22900,"(646) 165 66 39, 165 66 35",,,,,0,0,http://sic.gob.mx/ficha.php?table=museo&table_id=742,10/03/2017 12:28
653,Museo del Estero,Antropologia,01/04/1987,"Fundación Estero Beach, A.C.",2,Baja California,1,Ensenada,1,Ensenada,Playas del Estero s/n,Ex- Ejido Chapultepec,22785,(646) 176 62 44,,,linda.v@hotelesterobeach.com,,-116.61688,31.77748,http://sic.gob.mx/ficha.php?table=museo&table_id=653,21/08/2019 06:57
328,Centro  de Investigaciones Culturales Museo,Antropologia,31/10/1977,Universidad Autónoma de Baja California,2,Baja California,2,Mexicali,1,Mexicali,Calle L y Av. Reforma,Col. Nueva,21100,(686) 552 57 15,http://iic-museo.uabc.mx/,,amargalli@uabc.edu.mx,,-115.45637,32.66512,http://sic.gob.mx/ficha.php?table=museo&table_id=328,20/04/2020 11:42
592,Museo Comunitario Ruso,Antropologia,01/08/1991,,2,Baja California,1,Ensenada,1,Ensenada,Principal 276,Poblado Francisco Zarco,22750,(646) 155 20 30,,https://www.facebook.com/pg/pilirutavino/photos/?tab=album&album_id=395494427194684,franhuer@hotmail.com,,-116.58332,32.09084,http://sic.gob.mx/ficha.php?table=museo&table_id=592,15/03/2019 05:41
935,Museo Comunitario Juan García Aldama (cerrado por remodelación),Antropologia,10/09/1991,,2,Baja California,2,Mexicali,1,Mexicali,Carr. Mexicali-San Felipe km. 57,,21730,(686) 543 76 17,,,,,0,0,http://sic.gob.mx/ficha.php?table=museo&table_id=935,27/07/2017 13:33
600,Museo de Historia de Ensenada,Arqueologia,20/05/1993,"Centro Social Cívico y Cultural Riviera, A.C.",2,Baja California,1,Ensenada,1,Ensenada,Blvd. Lázaro Cárdenas 1421,Centro,22800,(646) 177 05 94,http://museoens.com/,,museoenelriviera@hotmail.com,,-116.61976,31.85859,http://sic.gob.mx/ficha.php?table=museo&table_id=600,18/01/2021 05:46
620,Caracol Museo de Ciencias ,Ciencia y tecnologia,04/05/1998,"Caracol Centro Científico y Cultural, A.C.",2,Baja California,1,Ensenada,1,Ensenada,Av. Club Rotario 3,Centro,22800,(646) 177 08 97,http://www.caracol.org.mx/,,comunicacion@caracol.org.mx,MuseoCaracol,-116.62059,31.85749,http://sic.gob.mx/ficha.php?table=museo&table_id=620,13/11/2020 05:23
1809,Museo Katsuo,Ciencia y tecnologia,10/03/2016,Facultad de Ciencias Marinas de la Universidad Autónoma de Baja California,2,Baja California,1,Ensenada,1,Ensenada,Carr. Transpeninsular Ensenada-Tijuana 3917,Col. Playitas,22860,(646) 174 45 70,,,museokatsuo@hotmail.com,,-116.66712,31.86424,http://sic.gob.mx/ficha.php?table=museo&table_id=1809,18/01/2021 06:36
1276,Museo Interactivo Tijuana El Trompo,Ciencia y tecnologia,09/12/2008,"Museo Interactivo Tijuana, A.C.",2,Baja California,4,Tijuana,1,Tijuana,Libramiento Los Insurgentes s/n,"Zona Río Tijuana, Tercera Etapa",22226,(664) 634 34 76,http://www.eltrompo.org,,m.digitales@eltrompo.org,,-116.93828,32.49527,http://sic.gob.mx/ficha.php?table=museo&table_id=1276,18/01/2021 06:19
886,Museo Sol del Niño,Ciencia y tecnologia,21/09/1998,"Patronato Museo Sol del Niño, A.C.",2,Baja California,2,Mexicali,1,Mexicali,Alfonso Esquer Sández s/n,Centro,21010,686 900 9030,https://sol.org.mx/visitaMuseo,,contacto@sol.org.mx ,soldelnino,-115.47295,32.65259,http://sic.gob.mx/ficha.php?table=museo&table_id=886,20/04/2020 08:32
1510,Museo Juan Rodríguez Cabrillo,Ciencia y tecnologia,27/08/2011,,2,Baja California,1,Ensenada,857,San Quintín,Bahía a San Quintín s/n,Col. Ballenas,22950,(616) 165 60 58,,,luisartrgz@live.com,,-115.97719,30.48462,http://sic.gob.mx/ficha.php?table=museo&table_id=1510,09/10/2018 06:34
340,Museo de Cera de Tijuana,Especializado,05/02/1993,"Museo de Cera de Tijuana, S.A. de C.V.",2,Baja California,4,Tijuana,1,Tijuana,Calle Primera núm. 8281,Centro,22000,(664) 688 24 78,https://museodeceratijuana.com/,,museodeceradetijuana@hotmail.com,,-117.03588,32.53665,http://sic.gob.mx/ficha.php?table=museo&table_id=340,23/09/2019 07:15
2055,Museo de la Lucha Libre Mexicana,Especializado,29/04/2017,Museo de la Siete A.C.,2,Baja California,4,Tijuana,1,Tijuana,Hermenegildo Galeana 8186,Centro,22000,(664) 685 99 26 ,https://www.mullme.com/,,mullme664@gmail.com,mullme664,-117.03679,32.52961,http://sic.gob.mx/ficha.php?table=museo&table_id=2055,18/04/2020 15:25
1662,Museo de la Vid y el Vino,Especializado,03/08/2012,"Patronato del Museo de la Vid y el Vino de Baja California, A.C.",2,Baja California,1,Ensenada,1,Ensenada,Carr. Federal Tecate-Ensenada Km 81.3,Col. Valle de Guadalupe,22750,(646)  156 81 65,http://www.museodelvinobc.com/,,info@museodelvinobc.com,,-116.58673,32.06974,http://sic.gob.mx/ficha.php?table=museo&table_id=1662,18/01/2021 05:54
930,Museo Comunitario El Asalto a las Tierras,Historia,24/10/1989,Ayuntamiento de Mexicali,2,Baja California,2,Mexicali,225,Michoacán de Ocampo,Venustiano Carranza s/n esq. Lázaro Cárdenas,Centro,21700,,,,cavb_52@hotmail.com,,0,0,http://sic.gob.mx/ficha.php?table=museo&table_id=930,17/04/2020 14:43
114,Museo Comunitario Tecate,Historia,12/10/1997,Ayuntamiento de Tecate/Centro Cultural Tecate (CECUTEC),2,Baja California,3,Tecate,1,Tecate,Tláloc 400,Col. Cuauhtémoc,21480,(665) 521 31 91,https://www.carem.org/,,info@carem.org,,-116.61938,32.56996,http://sic.gob.mx/ficha.php?table=museo&table_id=114,18/02/2021 04:10
1283,Museo de Sitio Campo Alaska,Historia,19/03/2005,Centro INAH de Baja California,2,Baja California,3,Tecate,1,Tecate,Camino Nacional Circuito Alaska s/n,Poblado La Rumorosa,21510,"(686) 552 35 91, 552 35 92",,,jbendimez.bc@inah.gob.com; daniel_aguilar@inah.gob.mx,,-116.04889,32.55108,http://sic.gob.mx/ficha.php?table=museo&table_id=1283,18/02/2021 06:39
934,Museo Wa-Kuatay,Historia,20/05/1995,"Corredor Histórico Carem, A.C.",2,Baja California,5,Playas de Rosarito,1,Playas de Rosarito,Blvd. Benito Juárez 18,Centro,22710,(661) 612 37 74,,http://www.bajacalifornia.gob.mx/portal/nuestro_estado/municipios/rosarito/patrimonio_cult.jsp,cinahbc@telnor.net,,-117.05852,32.34176,http://sic.gob.mx/ficha.php?table=museo&table_id=934,07/01/2019 06:19
1327,Museo de Historia de Tijuana,Historia,27/11/2010,Instituto Municipal de Arte y Cultura de Tijuana (IMAC),2,Baja California,4,Tijuana,1,Tijuana,Calle 2a. s/n esq. Constitución,Centro,22000,"664 688 17 21 exts. 113, 126, 127",http://www.imac.tijuanagob.mx/museo.aspx,,museodehistoriadetijuana@hotmail.com; miriamgarcia.museo@gmail.com,,-117.03876,32.53472,http://sic.gob.mx/ficha.php?table=museo&table_id=1327,17/04/2020 14:05
1689,Museo Regional Los Pioneros de Mexicali,Historia,15/03/1987,Particular,2,Baja California,2,Mexicali,1,Mexicali,Blvd. Adolfo López Mateos 2201,Justo Sierra,21380,(686) 561 71 25,,,museoregionalpionerosmexicali@hotmail.com,,-115.44073,32.61444,http://sic.gob.mx/ficha.php?table=museo&table_id=1689,18/02/2021 07:05
598,Museo de las Californias,Historia,24/02/2000,Secretaría de Cultura/Centro Cultural Tijuana (CECUT),2,Baja California,4,Tijuana,1,Tijuana,Paseo de los Héroes 9350,Zona Urbana Río Tijuana,22010,(664) 687 96 52,http://www.cecut.gob.mx/micrositio/museo/museo.html,,museocalifornias@cecut.gob.mx,,-117.02305,32.53007,http://sic.gob.mx/ficha.php?table=museo&table_id=598,20/04/2020 10:46
932,Museo Histórico Regional de Ensenada,Historia,15/05/1995,Secretaría de Cultura/INAH,2,Baja California,1,Ensenada,1,Ensenada,Av. Gastélum s/n,Centro,22800,646 178 36 92,http://www.inah.gob.mx/red-de-museos/194-museo-historico-regional-ex-cuartel-de-la-compania-fija,,mhre.inah@gmail.com.mx; mario_acevedoa@inah.gob.mx,,-116.62822,31.86338,http://sic.gob.mx/ficha.php?table=museo&table_id=932,02/03/2020 04:46
743,Museo Comunitario El Rosario,Historia,09/10/1994,,2,Baja California,1,Ensenada,1729,El Rosario de Abajo,Camino vecinal a la playa Punta Baja s/n,Col. El Rosario de Abajo,22860,Cel. (616) 108 71 59,http://elrosariobc.blogspot.mx/2007/12/museo-comunitario-el-rosario.html,,ingespinoza_57@hotmail.com,,0,0,http://sic.gob.mx/ficha.php?table=museo&table_id=743,31/01/2018 14:47
931,Museo Histórico Comunitario del Valle de Guadalupe,Historia,31/08/1991,,2,Baja California,1,Ensenada,114,Francisco Zarco (Valle de Guadalupe),"Calle 3ra., Mza. 25, Lote único",Col. Valle de Guadalupe,22750,045 646 150 31 50,,,,,0,0,http://sic.gob.mx/ficha.php?table=museo&table_id=931,10/03/2017 13:24
2081,Museo de Sitio de la Zona Arqueológica El Vallecito,,1000-01-01,Secretaría de Cultura/INAH,2,Baja California,3,Tecate,65,Ejido Jacumé,Población La Rumorosa,,,"(686) 552 35 91, 552 35 92",https://www.inah.gob.mx/zonas/58-zona-arqueologica-el-vallecito,,jaime_velez@inah.gob.mx,,-116.19137,32.59086,http://sic.gob.mx/ficha.php?table=museo&table_id=2081,16/07/2019 08:05
2163,Museo Ku'ahl,,1000-01-01,,2,Baja California,1,Ensenada,746,Santa Catarina,,,,,https://piedepagina.mx/el-color-de-la-pobreza/yumanos/una-historia-inesperada-el-museo-ku-ahl.php,https://culturacolectiva.com/historia/ku-ahl-lengua-indigena-yumana-desaparecera-cuando-fallezcan-sus-hablantes,,,-115.90919,31.59441,http://sic.gob.mx/ficha.php?table=museo&table_id=2163,06/11/2019 16:40
1696,Museo Comunitario de Mulegé,Arqueologia,01/01/1993,Delegación Municipal de Pueblo Mulegé/Comité Pro Museo Comunitario de Mulegé,3,Baja California Sur,2,Mulegé,1,Santa Rosalía,Cananea s/n,Centro,23900,(615) 153 00 56,,,delegacionhmulege2011@hotmail.com,,0,0,http://sic.gob.mx/ficha.php?table=museo&table_id=1696,10/03/2017 12:30
1073,Museo de las Pinturas Rupestres de San Ignacio,Arqueologia,01/11/1994,Secretaría de Cultura/INAH,3,Baja California Sur,2,Mulegé,149,San Ignacio,Profr. Gilberto Valdivia Peña s/n,Col. San Ignacio,23930,(615) 154 02 22,http://www.inah.gob.mx/es/red-de-museos/196-museo-de-las-pinturas-rupestres-de-san-ignacio,,keey__75@hotmail.com,,-111.98244,26.8923,http://sic.gob.mx/ficha.php?table=museo&table_id=1073,26/06/2019 05:27
936,Museo Regional de Antropología e Historia de Baja California Sur,Arqueologia,30/03/1981,Secretaría de Cultura/INAH,3,Baja California Sur,3,La Paz,1,La Paz,Av. Ignacio Manuel Altamirano s/n  esq. 5 de Mayo y Constitución,Centro,23000,(612) 122 01 62,http://www.inah.gob.mx/es/red-de-museos/197-museo-regional-de-baja-california-sur,,horizontebcs@gmail.com; museorahbcs@gmail.com,,-110.30881,24.15956,http://sic.gob.mx/ficha.php?table=museo&table_id=936,02/03/2020 04:54
1128,Museo de Historia Natural de Cabo San Lucas,Ciencia y tecnologia,09/10/2006,Ayuntamiento de Los Cabos,3,Baja California Sur,8,Los Cabos,54,Cabo San Lucas,"Calle Lázaro Cárdenas s/n, Plaza Amelia Wilkes",Centro,23410,(624) 105 06 61,,,museohist@outlook.com,,-109.91464,22.8829,http://sic.gob.mx/ficha.php?table=museo&table_id=1128,18/01/2021 08:47
1070,Museo de Historia de la Minería ,Ciencia y tecnologia,19/10/1996,Ayuntamiento de Mulegé,3,Baja California Sur,2,Mulegé,1,Santa Rosalía,Jean Mitchell Cousteau 1 y Luis Pasteur,Col. Mesa Francia,23920,(615) 152 29 99,,,hidalgocamachoguillermo@hotmail.com,,-112.26723,27.33885,http://sic.gob.mx/ficha.php?table=museo&table_id=1070,11/10/2018 04:38
560,Museo de Historia Regional de Todos Santos,Historia,06/10/1978,Centro Cultural Profr. Néstor Agúndez Martínez/Ayuntamiento de La Paz,3,Baja California Sur,3,La Paz,3,Todos Santos,Benito Juárez s/n,Centro,23305,(612) 145 00 59,,,culturaenlapaz@hotmail.com,,-110.22327,23.45098,http://sic.gob.mx/ficha.php?table=museo&table_id=560,21/08/2019 08:03
1072,Museo de las Misiones Jesuitas en Baja California,Historia,01/12/1973,Secretaría de Cultura/INAH,3,Baja California Sur,9,Loreto,1,Loreto,Salvatierra Misioneros 16,Centro,23880,613 135 0441,http://www.inah.gob.mx/red-de-museos/198-museo-de-las-misiones-de-baja-california,https://mediateca.inah.gob.mx/islandora_74/islandora/object/museo:1534,joaquin_munoz@inah.gob.mx,,-111.34359,26.01012,http://sic.gob.mx/ficha.php?table=museo&table_id=1072,17/02/2020 05:28
2183,Museo de Arte de Baja California Sur,,12/11/2020,Gobierno del Estado,3,Baja California Sur,3,La Paz,1,La Paz,Calle 5 de Mayo s/n,Col. Centro,23000,612 122 48980,https://www.muabcs.com/,,redesmuabcs@gmail.com; gabrielavaladez.muabcs@bcs.gob.mx,,-110.3074,24.15818,http://sic.gob.mx/ficha.php?table=museo&table_id=2183,30/11/2020 08:37
2082,Museo de sitio de la Zona Arqueológica de Sierra San Francisco,,1000-01-01,Secretaría de Cultura / INAH,3,Baja California Sur,3,La Paz,1711,San Ignacio,,,23930,(612) 122 73 89,https://www.inah.gob.mx/zonas/59-zona-arqueologica-de-la-sierra-de-san-francisco,,sierrasanfrancisco@hotmail,,-111.30598,24.72442,http://sic.gob.mx/ficha.php?table=museo&table_id=2082,26/06/2019 05:30
2072,Centro Regional Interpretativo Ruta de Plata,,16/11/2018,Secretaría de Turismo del Estado de Baja Califonria Sur,3,Baja California Sur,3,La Paz,911,El Triunfo,Calle Progreso esq. Ayuntamiento,,23210,(612) 229 55 87,https://www.museorutadeplata.com/bienvenidos,, info@museorutadeplata.com,,-110.10843,23.80261,http://sic.gob.mx/ficha.php?table=museo&table_id=2072,12/01/2021 07:23
1408,Museo Victoriano Niévez Céspedes,Arqueologia,16/07/1998,Ayuntamiento de Ciudad del Carmen,4,Campeche,3,Carmen,1,Ciudad del Carmen,Calle 22 x 41 y 41 B,Centro,24100,(938) 382 13 87,,,,,-91.83906,18.64252,http://sic.gob.mx/ficha.php?table=museo&table_id=1408,10/02/2020 07:46
126,Museo de la Arquitectura Maya Baluarte de la Soledad,Arqueologia,01/01/1958,Secretaría de Cultura/INAH,4,Campeche,2,Campeche,1,San Francisco de Campeche,Calle 8 s/n entre 57 y 59,Centro,24000,"(981) 816 91 11 exts. 138035, 138036",,https://lugares.inah.gob.mx/lugar-112-es,museos.camp@inah.gob.mx,,-90.53787,19.84639,http://sic.gob.mx/ficha.php?table=museo&table_id=126,02/03/2020 03:53
739,"Museo de Arqueología Maya, Fuerte de San Miguel",Arqueologia,01/10/1965,Secretaría de Cultura/INAH,4,Campeche,2,Campeche,1,San Francisco de Campeche,Av. Escénica s/n,Col. Buenavista,24039,(981) 816 91 36 ext. 138036,http://www.inah.gob.mx/es/red-de-museos/202-museo-arqueologico-de-campeche-fuerte-de-san-miguel,,museos.camp@inah.gob.mx,,-90.56865,19.82463,http://sic.gob.mx/ficha.php?table=museo&table_id=739,18/02/2020 02:34
595,"Museo de Arqueología Maya del Camino Real, Hecelchakán",Arqueologia,16/08/1965,Secretaría de Cultura/INAH,4,Campeche,5,Hecelchakán,1,Hecelchakán,Calle 20 por calle 18 s/n,Centro,24800,(981) 816 91 36,,http://www.inah.gob.mx/es/red-de-museos/200-museo-arqueologico-de-hecelchakan,museos.camp@inah.gob.mx,,-90.13302,20.1781,http://sic.gob.mx/ficha.php?table=museo&table_id=595,02/03/2020 03:44
1749,Museo Baluarte de Santa Rosa,Arte,01/01/1997,Ayuntamiento de Campeche/Dirección de Cultura/Coordinación de Patrimonio,4,Campeche,2,Campeche,1,San Francisco de Campeche,"Cto. Baluartes, Calle 67 s/n",Barrio San Román,24000,(981) 816 64 35,,http://www.campeche.travel/baluarte-de-santa-rosa/,campecheamg@gmail.com,,-90.54046,19.84156,http://sic.gob.mx/ficha.php?table=museo&table_id=1749,22/11/2018 06:43
1814,Museo de Arte Sacro (Capilla de Jesús de Nazareno),Arte,01/01/2002,Catedral de Nuestra Señora de la Purísima Concepción,4,Campeche,2,Campeche,1,San Francisco de Campeche,Calle 55 entre 10 y 8,Centro,24000,(981) 816 31 44,,,hola@TurismoCampeche.com,,-90.53631,19.84615,http://sic.gob.mx/ficha.php?table=museo&table_id=1814,15/01/2021 03:51
1621,Museo de la Naturaleza y Arqueología de Calakmul,Ciencia y tecnologia,01/01/2010, Secretaría de Turismo de Campeche,4,Campeche,10,Calakmul,161,Nuevo Conhuás,Conhuas-Calakmul Zona Arqueológica km. 20,,24477,01 800 900 22 67 ,http://www.campeche.travel/museo-de-calakmul/,,nfernandez@campeche.gob.mx,,-89.89257,18.36893,http://sic.gob.mx/ficha.php?table=museo&table_id=1621,07/06/2018 12:42
1601,Casa de la Tecnología de Campeche DGETI SECUD,Ciencia y tecnologia,15/02/1995,"Secretaría de Educación, Cultura y Deporte de Campeche",4,Campeche,2,Campeche,1,San Francisco de Campeche,"Av. Casa de Justicia 12, PB",Col. Fracciorama 2000,24090,(981) 813 21 43,,http://www.somedicyt.org.mx/congreso_2003/Memorias/descargas_pdf/educacion_no_formal/descarga_ojeda_macossay.pdf,casa_tec_campeche@hotmail.com,,-90.53054,19.82404,http://sic.gob.mx/ficha.php?table=museo&table_id=1601,18/05/2018 13:32
1760,Museo Universitario de la Vida ,Ciencia y tecnologia,18/12/2014,Universidad Autónoma de Campeche,4,Campeche,2,Campeche,1,San Francisco de Campeche,Av. Lázaro Cárdenas 65,Fracc. Bugambilias,24090,(981) 811 98 00 ext. 1050610,https://muvi.uacam.mx/,,muvi@uacam.mx,,-90.52628,19.82849,http://sic.gob.mx/ficha.php?table=museo&table_id=1760,18/01/2021 09:34
540,"Museo de la Ciudad, Baluarte de San Carlos",Historia,01/01/1989,Ayuntamiento de Campeche,4,Campeche,2,Campeche,1,San Francisco de Campeche,Calle 8 s/n,Centro,24000,(981) 811 39 90,,,detc@gmail.com,,-90.54065,19.84458,http://sic.gob.mx/ficha.php?table=museo&table_id=540,19/02/2021 02:17
1778,Museo  El Palacio,Historia,17/03/2015,Centro Cultural El Palacio/Secretaría de Cultura de Campeche,4,Campeche,2,Campeche,1,San Francisco de Campeche,Calle 8 núm. 257,Centro,24000,(981) 811 03 66,,,museoelpalaciocc@gmail.com,,-90.53747,19.84615,http://sic.gob.mx/ficha.php?table=museo&table_id=1778,18/01/2021 09:10
1676,Museo API a Pedro Infante,Historia,16/02/2012,Gobierno del Estado de Campeche/Administración Portuaria Integral,4,Campeche,1,Calkiní,1,Calkiní,"72 km del municipio de Calkiní, Faro de Isla Arena",,24919,,http://educacionculturaydeporte.calkini.gob.mx/coordinaciones/turismo/isla-arena/,,,,-90.45257,20.68642,http://sic.gob.mx/ficha.php?table=museo&table_id=1676,22/11/2018 06:33
1962,Centro Cultural Casa 6,Historia,01/05/2000,Secretaría de Turismo de Campeche,4,Campeche,2,Campeche,1,San Francisco de Campeche,Calle 57 núm. 6 entre 8 y 10,Centro,24000,(981) 816 17 82,http://www.campeche.travel/centro-cultural-casa-no-6/,,hortencia.hernandez@campeche.gob.mx,,-90.53696,19.84543,http://sic.gob.mx/ficha.php?table=museo&table_id=1962,06/03/2018 12:45
